Test Sponsor,Cpu Name,Max MHz,Nominal,Oderable,Cache Other,Hardware Other,OS,Compiler,Firmware,File System,System State,Base Pointers,Peak Pointers,Software Other,Power Management,Paralled,Base Threads,Enabled Cores,Enabled Chips,Threads/Core,Base Results,Peak Results,Cache_L1_I,Cache_L1_D,Cache_L2_ID,Cache_L3_ID,L3_shared,Memory_num,Storage_num
ASUSTeK Computer Inc.,Intel Xeon E-2276G,4900,3800,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 3102 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,12,6,1,2,34.1,34.4,32.0,32.0,256.0,12.0,False,64.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7402,3350,2800,"1,2 chips",,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0202 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,Prefer performance at the cost of additional power usage.,Yes,48,48,2,2,144,148,32.0,32.0,512.0,128.0,False,1024.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7352,3200,2300,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,24,24,1,2,92.9,95.2,32.0,32.0,512.0,128.0,False,512.0,240.0
ASUSTeK Computer Inc.,AMD EPYC 7502,3350,2500,"1,2 chips",,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0202 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,Prefer performance at the cost of additional power usage.,Yes,64,64,2,2,162,168,32.0,32.0,512.0,128.0,False,1024.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon E-2278G,5000,3400,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 3102 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,8,1,1,37.8,38.4,32.0,32.0,256.0,16.0,False,64.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon E-2286G,4900,4000,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 3102 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,6,6,1,1,33.9,34.3,32.0,32.0,256.0,12.0,False,64.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon E-2274G,4900,4000,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 3102 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,4,1,2,28.8,29.1,32.0,32.0,256.0,8.0,False,64.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7502P,3350,2500,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,32,32,1,2,109,111,32.0,32.0,512.0,128.0,False,512.0,240.0
ASUSTeK Computer Inc.,AMD EPYC 7302P,3300,3000,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,16,16,1,2,80.0,83.2,32.0,32.0,512.0,128.0,False,512.0,240.0
ASUSTeK Computer Inc.,Intel Xeon E-2288G,5000,3700,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 3102 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,8,1,1,38.2,38.8,32.0,32.0,256.0,16.0,False,64.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7742,3400,2250,"1,2 chips",,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0202 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,128,128,2,2,202,209,32.0,32.0,512.0,256.0,False,1024.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7402P,3350,2800,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,24,24,1,2,95.0,97.4,32.0,32.0,512.0,128.0,False,512.0,240.0
ASUSTeK Computer Inc.,AMD EPYC 7542,3400,2900,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,32,32,1,2,110,112,32.0,32.0,512.0,128.0,False,512.0,240.0
ASUSTeK Computer Inc.,Intel Xeon Gold 6252,3700,2100,"1,2 chips",,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-23-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 5102 released Feb-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,48,48,2,1,148,149,32.0,32.0,1024.0,35.75,False,768.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7702P,3350,2000,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,64,64,1,2,133,137,32.0,32.0,512.0,256.0,False,512.0,240.0
ASUSTeK Computer Inc.,AMD EPYC 7702,3350,2000,"1,2 chips",,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0202 released Oct-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,128,128,2,2,198,205,32.0,32.0,512.0,256.0,False,1024.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon Platinum 8260M,3900,2400,"1,2 chips",,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-23-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 5102 released Feb-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,48,48,2,1,154,154,32.0,32.0,1024.0,35.75,False,768.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon Platinum 8256,3900,3800,"1,2 chips",,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-23-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 5102 released Feb-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,16,8,2,2,66.0,66.4,32.0,32.0,1024.0,16.5,False,768.0,1024.0
ASUSTeK Computer Inc.,Intel Xeon E-2174G,4700,3800,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,4,1,2,28.2,28.6,32.0,32.0,256.0,8.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon Gold 6240M,3900,2600,"1,2 chips",,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-23-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 5102 released Feb-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,36,36,2,1,138,138,32.0,32.0,1024.0,24.75,False,768.0,1024.0
ASUSTeK Computer Inc.,AMD EPYC 7742,3400,2250,1 chip,,,"SUSE Linux Enterprise Server 15 SP1 (x86_64);
Kernel 4.12.14-195-default",C/C++/Fortran: Version 2.0.0 of AOCC,Version 0302 released Aug-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,jemalloc: jemalloc memory allocator library v5.1.0,--,Yes,64,64,1,2,136,141,32.0,32.0,512.0,256.0,False,256.0,240.0
ASUSTeK Computer Inc.,Intel Xeon E-2146G,4500,3500,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.1.144 of Intel C/C++;
Compiler Build 20181018 for Linux;;
Fortran: Version 19.0.1.144 of Intel Fortran;
Compiler Build 20181018 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,12,6,1,2,32.6,33.0,32.0,32.0,256.0,12.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon E-2144G,4500,3600,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,4,1,2,28.1,28.5,32.0,32.0,256.0,8.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon E-2126G,4500,3300,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,6,6,1,1,32.4,32.8,32.0,32.0,256.0,12.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon E-2134,4500,3500,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,8,4,1,2,27.9,28.2,32.0,32.0,256.0,8.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon E-2136,4500,3300,1 chip,,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-150.17-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 0703 released Jun-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,12,6,1,2,32.7,33.1,32.0,32.0,256.0,12.0,False,64.0,500.0
ASUSTeK Computer Inc.,Intel Xeon Silver 4216,3200,2100,"1,2 chips",,,"SUSE Linux Enterprise Server 15;
Kernel 4.12.14-23-default","C/C++: Version 19.0.4.227 of Intel C/C++;
Compiler Build 20190416 for Linux;;
Fortran: Version 19.0.4.227 of Intel Fortran;
Compiler Build 20190416 for Linux",Version 5102 released Feb-2019,xfs,Run level 3 (multi-user),64-bit,64-bit,,--,Yes,32,32,2,1,119,119,32.0,32.0,1024.0,22.0,False,768.0,1024.0
